[    ('93.180.71.3', 'GET', '/downloads/product_1'),
     ('93.180.71.3', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('217.168.17.5', 'GET', '/downloads/product_1'),
     ('217.168.17.5', 'GET', '/downloads/product_2'),
     ('93.180.71.3', 'GET', '/downloads/product_1'),
     ('217.168.17.5', 'GET', '/downloads/product_2'),
     ('217.168.17.5', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('93.180.71.3', 'GET', '/downloads/product_1'),
     ('217.168.17.5', 'GET', '/downloads/product_2'),
     ('188.138.60.101', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('46.4.66.76', 'GET', '/downloads/product_1'),
     ('93.180.71.3', 'GET', '/downloads/product_1'),
     ('91.234.194.89', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('37.26.93.214', 'GET', '/downloads/product_2'),
     ('188.138.60.101', 'GET', '/downloads/product_2'),
     ('93.180.71.3', 'GET', '/downloads/product_1'),
     ('46.4.66.76', 'GET', '/downloads/product_1'),
     ('62.75.198.179', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('173.203.139.108', 'GET', '/downloads/product_1'),
     ('210.245.80.75', 'GET', '/downloads/product_2'),
     ('46.4.83.163', 'GET', '/downloads/product_2'),
     ('91.234.194.89', 'GET', '/downloads/product_2'),
     ('31.22.86.126', 'GET', '/downloads/product_1'),
     ('217.168.17.5', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('173.203.139.108', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('200.6.73.40', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('93.180.71.3', 'GET', '/downloads/product_1'),
     ('62.75.198.179', 'GET', '/downloads/product_2'),
